국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한,원본파일
블루밍 보떼 더 패스트 샴푸,Blooming Beaute The Fast Shampoo,EVCO-905,2018.02.05,PFSPR00,연하늘색 불투명 펄 점액상,480 mL,신 혜 정,머리를 물에 적신 후 본품 적당량을 덜어 모발과 두피에 부드럽게 마사지하듯 거품을 낸 후 미온수로 깨끗이 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO905_(PFSPR00)-블루밍 보떼 더 패스트 샴푸.xls
페디슨 차전궁 프레쉬 버진 겔,PEDISON Chajungung Fresh Virgin Gel,EVCO-906,2018.02.07,PDSG005,황색의 투명 점액상,30 mL,신 혜 정,사용 시 적당량을 덜어 건조한 부위에 부드럽게 마사지하듯 도포합니다. 실크같은 매끄러움과 촉촉함을 느낄 수 있습니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO906_(PDSG005)-페디슨 차전궁 프레쉬 버진 겔.xls
프레쥬 오리지날 허브 자연약쑥 진정 수분크림,Fraijour Original Herb Wormwood Calming Watery Cream,EVCO-907,2018.02.07,FJCR001,백색 불투명 크림상,90 mL,신 혜 정,"아침, 저녁 기초 스킨케어 후 크림 사용단계에서 적당량을 덜어 피부 안쪽에서 바깥쪽으로 피부 결을 따라 부드럽게 펴 발라 흡수시킵니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO907_(FJCR001)-프레쥬 오리지날 허브 자연약쑥 진정 수분크림.xls
페디슨 아로마틱 넥타 클렌징 오일,PEDISON Aromatic Nectar Cleansing Oil,EVCO-908,2018.03.07,PDCO001,황색의 투명 오일상,300 mL,신 혜 정,물기가 없는 손에 오일을 적당량 취하여 손바닥에서 부드럽게 롤링한 후 얼굴 전체를 마사지 하듯 클렌징 합니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉 후 12개월),제품표준서_EVCO908_(PDCO001)-페디슨 아로마틱 넥타 클렌징 오일.xls
미미로린스 씬트 리메인 프로테인 헤어 세럼-라즈베리 만다린,Mimi Lauryne's Scent Remain Protein Hair Serum-Raspberry Mandarin,EVCO-909,2018.03.13,MLHS005,무색 투명의 오일상,100 mL,신 혜 정,샴푸 후 물기를 말리고 손바닥에 적당량을 덜어 손상부위를 중심으로 조금씩 펴 바르고 손에 남은 잔량으로 모발 전체에 가볍게 펴 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO909_(MLHS005)-미미로린스 씬트 리메인 프로테인 헤어 세럼-라즈베리 만다린.xls
미미로린스 씬트 리메인 프로테인 헤어 세럼-블리스드,Mimi Lauryne's Scent Remain Protein Hair Serum-Blessed,EVCO-910,2018.03.13,MLHS006,무색 투명의 오일상,100 mL,신 혜 정,샴푸 후 물기를 말리고 손바닥에 적당량을 덜어 손상부위를 중심으로 조금씩 펴 바르고 손에 남은 잔량으로 모발 전체에 가볍게 펴 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO910_(MLHS006)-미미로린스 씬트 리메인 프로테인 헤어 세럼-블리스드.xls
바스파 피토 스칼프 퍼퓸,BATHPA Phyto Scalp Perfume,EVCO-911,2018.03.22,BTPF001,무색~미황색 투명 오일상,7 mL,신 혜 정,"두피, 손목, 귀 뒤쪽등 향기 연출을 원하는 곳에 가볍게 롤링하여 도포합니다.",,,7 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO911_(BTPF001~005)-바스파 피토 스칼프 퍼퓸 5종.xls
바스파 피토 스칼프 퍼퓸,BATHPA Phyto Scalp Perfume,EVCO-911,2018.03.22,BTPF002,무색~미황색 투명 오일상,7 mL,신 혜 정,"두피, 손목, 귀 뒤쪽등 향기 연출을 원하는 곳에 가볍게 롤링하여 도포합니다.",,,7 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO911_(BTPF001~005)-바스파 피토 스칼프 퍼퓸 5종.xls
바스파 피토 스칼프 퍼퓸,BATHPA Phyto Scalp Perfume,EVCO-911,2018.03.22,BTPF003,무색~미황색 투명 오일상,7 mL,신 혜 정,"두피, 손목, 귀 뒤쪽등 향기 연출을 원하는 곳에 가볍게 롤링하여 도포합니다.",,,7 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO911_(BTPF001~005)-바스파 피토 스칼프 퍼퓸 5종.xls
바스파 피토 스칼프 퍼퓸,BATHPA Phyto Scalp Perfume,EVCO-911,2018.03.22,BTPF004,무색~미황색 투명 오일상,7 mL,신 혜 정,"두피, 손목, 귀 뒤쪽등 향기 연출을 원하는 곳에 가볍게 롤링하여 도포합니다.",,,7 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO911_(BTPF001~005)-바스파 피토 스칼프 퍼퓸 5종.xls
바스파 피토 스칼프 퍼퓸,BATHPA Phyto Scalp Perfume,EVCO-911,2018.03.22,BTPF005,무색~미황색 투명 오일상,7 mL,신 혜 정,"두피, 손목, 귀 뒤쪽등 향기 연출을 원하는 곳에 가볍게 롤링하여 도포합니다.",,,7 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO911_(BTPF001~005)-바스파 피토 스칼프 퍼퓸 5종.xls
위드미 누드 앤 쉬어 선스틱 - 퓨어,WITHME Nude & Sheer Sun Stick - Pure SPF50+ PA++++,EVCO-912,2018.03.23,WMSC001,미황색 납상 크림제,22 g,신 혜 정,"얼굴과 목, 팔, 다리 등 자외선에 노출되기 쉬운 피부에 가볍게 발라 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO912_(WMSC001)-위드미 누드 앤 쉬어 선스틱-퓨어.xls
위드미 누드 앤 쉬어 선스틱 - 컨트롤,WITHME Nude & Sheer Sun Stick - Control SPF50+ PA++++,EVCO-913,2018.03.23,WMSC002,미황색 납상 크림제,22 g,신 혜 정,"얼굴과 목, 팔, 다리 등 자외선에 노출되기 쉬운 피부에 가볍게 발라 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO913_(WMSC002)-위드미 누드 앤 쉬어 선스틱-컨트롤.xls
위드미 판테스틱 더마 시카 크림,WITHME Panthestic Derma Cica Cream,EVCO-914,2018.04.03,WMCR004,백색의 크림상,100 mL,신 혜 정,"크림 사용 단계에서 적당량을 덜어 얼굴 전체에 고르게 펴바른 뒤, 손바닥으로 가볍게 눌러 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO914_(WMCR004)-위드미 판테스틱 더마 시카 크림.xls
샤샤 밀크 앤 허니 바디워시-듀이 플로럴,CHAR CHAR Milk & Honey Body Wash-Dewy Floral,EVCO-915,2018.04.20,AOBC001,연황색 불투명 점액상,1500 mL,신 혜 정,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO915_(AOBC001)-샤샤 밀크 앤 허니 바디워시 - 듀이 플로럴.xls
샤샤 밀크 앤 허니 바디워시-쥬이시 그레이프프룻,CHAR CHAR Milk & Honey Body Wash-Juicy Grapefruit,EVCO-916,2018.04.20,AOBC002,연분홍 불투명 점액상,1500 mL,신 혜 정,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO916_(AOBC002)-샤샤 밀크 앤 허니 바디워시 - 쥬이시 그레이프프룻.xls
샤샤 밀크 앤 허니 바디워시-소프트 머스크,CHAR CHAR Milk & Honey Body Wash-Soft Musk,EVCO-917,2018.04.20,AOBC003,연보라색 불투명 점액상,1500 mL,신 혜 정,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO917_(AOBC003)-샤샤 밀크 앤 허니 바디워시 - 소프트 머스크.xls
샤샤 밀크 앤 허니 바디로션-듀이 플로럴,CHAR CHAR Milk & Honey Body Lotion-Dewy Floral,EVCO-918,2018.04.20,AOBL001,연황색 로션상,1500 mL,신 혜 정,샤워 후 건조함이 느껴지는 부위 및 전신에 마사지 하듯이 발라 주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO918_(AOBL001)-샤샤 밀크 앤 허니 바디로션 - 듀이 플로럴.xls
샤샤 밀크 앤 허니 바디로션-쥬이시 그레이프프룻,CHAR CHAR Milk & Honey Body Lotion-Juicy Grapefruit,EVCO-919,2018.04.20,AOBL002,연분홍색 로션상,1500 mL,신 혜 정,샤워 후 건조함이 느껴지는 부위 및 전신에 마사지 하듯이 발라 주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO919_(AOBL002)-샤샤 밀크 앤 허니 바디로션 - 쥬이시 그레이프프룻.xls
샤샤 밀크 앤 허니 바디로션-소프트 머스크,CHAR CHAR Milk & Honey Body Lotion-Soft Musk,EVCO-920,2018.04.20,AOBL003,연보라색 로션상,1500 mL,신 혜 정,샤워 후 건조함이 느껴지는 부위 및 전신에 마사지 하듯이 발라 주세요.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO920_(AOBL003)-샤샤 밀크 앤 허니 바디로션 - 소프트 머스크.xls
위드미 판테스틱 더마 시카 퓨리파잉 토너,WITHME Panthestic Derma Cica Purifying Toner,EVCO-921,2018.04.25,WMTN002,무색 투명 액상,500 mL,신 혜 정,적당량을 덜어 피부결을 따라 부드럽게 펴 바르고 가볍게 두드리며 흡수시켜 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO921_(WMTN002)-위드미 판테스틱 더마 시카 퓨리파잉 토너.xls
위드미 판테스틱 더마 시카 AC 로션,WITHME Panthestic Derma Cica AC Lotion,EVCO-922,2018.05.09,WMBL001,백색의 로션상,500 mL,신 혜 정,샤워 후 물기를 닦은 다음 적당량을 덜어 전신에 마사지하듯 골고루 펴 바릅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO922_(WMBL001)-위드미 판테스틱 더마 시카 AC 로션.xls
미미로린스 솝 앤 클린 드레스 퍼퓸,Mimi Lauryne's Soap & Clean Dress Perfume,EVCO-923,2018.05.25,MLDM023,무색 투명 액상,300 mL,신 혜 정,"탈취와 향기가 필요한 침구, 옷, 신발, 인형 등 패브릭 제품과 옷장, 자동차, 화장실 등 다양한 공간에 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,"제품표준서_EVCO923_(MLDM023~025)-미미로린스 솝 앤 클린 드레스 퍼퓸(브리즈, 퓨리티, 린넨).xls"
미미로린스 솝 앤 클린 드레스 퍼퓸,Mimi Lauryne's Soap & Clean Dress Perfume,EVCO-923,2018.05.25,MLDM024,무색 투명 액상,300 mL,신 혜 정,"탈취와 향기가 필요한 침구, 옷, 신발, 인형 등 패브릭 제품과 옷장, 자동차, 화장실 등 다양한 공간에 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,"제품표준서_EVCO923_(MLDM023~025)-미미로린스 솝 앤 클린 드레스 퍼퓸(브리즈, 퓨리티, 린넨).xls"
미미로린스 솝 앤 클린 드레스 퍼퓸,Mimi Lauryne's Soap & Clean Dress Perfume,EVCO-923,2018.05.25,MLDM025,무색 투명 액상,300 mL,신 혜 정,"탈취와 향기가 필요한 침구, 옷, 신발, 인형 등 패브릭 제품과 옷장, 자동차, 화장실 등 다양한 공간에 분사해주세요.",,,제조일로부터 3년 (제조일자 표기),별첨.4,"제품표준서_EVCO923_(MLDM023~025)-미미로린스 솝 앤 클린 드레스 퍼퓸(브리즈, 퓨리티, 린넨).xls"
밸르모나 진생 헤리티지 고삼 샴푸액,VALMONA Ginseng Heritage Gosam Shampoo,EVCO-924,2018.06.01,VMSP006,갈색 불투명 점액상,300mL / 6g,신 혜 정,적당량을 덜어 거품을 낸 다음 모발과 두피에 발라 충분히 마사지한 후 미지근한 물로 깨끗이 씻어내 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO924_(VMSP006)-밸르모나 진생 헤리티지 고삼 샴푸액.xls
밸르모나 진생 헤리티지 고삼 샴푸액,VALMONA Ginseng Heritage Gosam Shampoo,EVCO-924,2018.06.01,VMSPP06,갈색 불투명 점액상,300mL / 6g,신 혜 정,적당량을 덜어 거품을 낸 다음 모발과 두피에 발라 충분히 마사지한 후 미지근한 물로 깨끗이 씻어내 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO924_(VMSP006)-밸르모나 진생 헤리티지 고삼 샴푸액.xls
밸르모나 파워풀 솔루션 블랙 피오니 서리태 샴푸액,VALMONA Powerful Solution Black Peony Seoritae Shampoo,EVCO-925,2018.06.01,VMSP005,검은색 불투명 점액상,480 mL,신 혜 정,적당량을 덜어 거품을 낸 다음 모발과 두피에 발라 충분히 마사지한 후 미지근한 물로 깨끗이 씻어내 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO925_(VMSP005)-밸르모나 파워풀 솔루션 블랙 피오니 서리태 샴푸액.xls
밸르모나 파워풀 솔루션 블랙 피오니 서리태 모발 영양팩,VALMONA Powerful Solution Black Peony Seoritae Nutrient Conditioner,EVCO-926,2018.06.01,VMRS005,회색의 로션상,480 mL,신 혜 정,정당량을 덜어 두피에 닿지 않게 모발에 마사지 한 후 미온수로 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO926_(VMRS005)-밸르모나 파워풀 솔루션 블랙 피오니 서리태 모발 영양팩.xls
위드미 시그널 벨벳 립 마스터 07 뮤즈시그널,WITHME Signal Velvet Lip Master 07 Muse Signal,EVCO-927,2018.02.19,WMLT007,레드색상의 유액상,4.5 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO927_(WMLT007)-위드미 시그널 벨벳 립마스터 07 뮤즈시그널.xls
위드미 시그널 벨벳 립 마스터 08 데인저시그널,WITHME Signal Velvet Lip Master 08 Danger Signal,EVCO-928,2018.02.19,WMLT008,오렌지색상의 유액상,4.5 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO928_(WMLT008)-위드미 시그널 벨벳 립마스터 08 데인저시그널.xls
위드미 시그널 벨벳 립 마스터 09 블러썸 시그널,WITHME Signal Velvet Lip Master 09 Blossom Signal,EVCO-929,2018.02.19,WMLT009,핑크색상의 유액상,4.5 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO929_(WMLT009)-위드미 시그널 벨벳 립마스터 09 블러썸시그널.xls
위드미 시그널 벨벳 립 마스터 10 얼루어시그널,WITHME Signal Velvet Lip Master 09 Allure Signal,EVCO-930,2018.02.19,WMLT010,핑크색상의 유액상,4.5 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO930_(WMLT010)-위드미 시그널 벨벳 립마스터 10 얼루어시그널.xls
위드미 시그널 글로우 립 마스터 101 블러드시그널,WITHME Signal Glow Lip Master 101 Blood Signal,EVCO-931,2018.04.12,WMLT101,레드색상의 유액상,4.5 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO931_(WMLT101)-위드미 시그널 글로우 립마스터 101 블러드시그널.xls
위드미 시그널 글로우 립 마스터 102 슈슈시그널,WITHME Signal Glow Lip Master 102 Chou Chou Signal,EVCO-932,2018.04.12,WMLT102,오렌지색상의 유액상,4.5 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO932_(WMLT102)-위드미 시그널 글로우 립마스터 102 슈슈시그널.xls
위드미 시그널 글로우 립 마스터 103 포에버시그널,WITHME Signal Glow Lip Master 103 Forever Signal,EVCO-933,2018.04.12,WMLT103,핑크색상의 유액상,4.5 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO933_(WMLT103)-위드미 시그널 글로우 립마스터 103 포에버시그널.xls
위드미 시그널 글로우 립 마스터 104 조이시그널,WITHME Signal Glow Lip Master 104 Joy Signal,EVCO-934,2018.04.12,WMLT104,핑크색상의 유액상,4.5 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO934_(WMLT104)-위드미 시그널 글로우 립마스터 104 조이시그널.xls
위드미 시그널 글로우 립 마스터 105 판타지시그널,WITHME Signal Glow Lip Master 105 Fantasy Signal,EVCO-935,2018.04.12,WMLT105,핑크색상의 유액상,4.5 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO935_(WMLT105)-위드미 시그널 글로우 립마스터 105 판타지시그널.xls
위드미 시그널 샤인 립 글로스 앤 밤 No.01 마린블루펄,WITHME Signal Shine Lip Gloss & Balm No.01 Marine Blue Pearl,EVCO-936,2018.06.26,WMLG001,블루색상의 유액상,10 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO936_(WMLG001)-위드미 시그널 샤인 립 글로스 앤 밤 No.01 마린블루펄.xls
위드미 시그널 샤인 립 글로스 앤 밤 No.02 체리블러썸펄,WITHME Signal Shine Lip Gloss & Balm No.02 Cherry Blossom Pearl,EVCO-937,2018.06.26,WMLG002,핑크색상의 유액상,10 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO937_(WMLG002)-위드미 시그널 샤인 립 글로스 앤 밤 No.02 체리블러썸펄.xls
위드미 시그널 샤인 립 글로스 앤 밤 No.03 에센셜 밤,WITHME Signal Shine Lip Gloss & Balm No.03 Essential Balm,EVCO-938,2018.06.26,WMLG003,화이트색상의 크림상,10 g,신 혜 정,적당량을 취하여 입술에 부드럽게 펴 발라 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO938_(WMLG003)-위드미 시그널 샤인 립 글로스 앤 밤 No.03 에센셜밤.xls
바스파 오스트레일리안 바쓰 솔트 소프트 로지,BATHPA Australian Bath Salt Soft Rosy,EVCO-939,2018.06.01,BTBS001,연한핑크의 입자소금,1200 g,신 혜 정,"물에 적당량을 용해시켜 사용합니다.
권장사용량: 물의 양에 따라 50g~150g(물10L 당 1g)",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO939_(BTBS001)-바스파 오스트레일리안 바쓰 솔트 소프트 로지.xls
바스파 오스트레일리안 바쓰 솔트 프레쉬 유자,BATHPA Australian Bath Salt Fresh Yuja,EVCO-940,2018.06.01,BTBS002,연한황색의 입자소금,1200 g,신 혜 정,"물에 적당량을 용해시켜 사용합니다.
권장사용량: 물의 양에 따라 50g~150g(물10L 당 1g)",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO940_(BTBS002)-바스파 오스트레일리안 바쓰 솔트 프레쉬 유자.xls
바스파 오스트레일리안 바쓰 솔트 쏠티 씨,BATHPA Australian Bath Salt Salty Sea,EVCO-941,2018.06.01,BTBS003,연한청색의 입자소금,1200 g,신 혜 정,"물에 적당량을 용해시켜 사용합니다.
권장사용량: 물의 양에 따라 50g~150g(물10L 당 1g)",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO941_(BTBS003)-바스파 오스트레일리안 바쓰 솔트 쏠티 씨.xls
바스파 오스트레일리안 바쓰 솔트 컴포트 라벤더,BATHPA Australian Bath Salt Comfort Lavender,EVCO-942,2018.06.01,BTBS004,연보라색의 입자소금,1200 g,신 혜 정,"물에 적당량을 용해시켜 사용합니다.
권장사용량: 물의 양에 따라 50g~150g(물10L 당 1g)",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO942_(BTBS004)-바스파 오스트레일리안 바쓰 솔트 컴포트 라벤더.xls
바스파 오스트레일리안 바쓰 솔트 그린 버드,BATHPA Australian Bath Salt Green Buds,EVCO-943,2018.06.01,BTBS005,연한녹색의 입자소금,1200 g,신 혜 정,"물에 적당량을 용해시켜 사용합니다.
권장사용량: 물의 양에 따라 50g~150g(물10L 당 1g)",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO943_(BTBS005)-바스파 오스트레일리안 바쓰 솔트 그린 버드.xls
바스파 피토 스칼프 오일컷 미스트,BATHPA Phyto Scalp Oil Cut Mist,EVCO-944,2018.07.23,BTMS001,무색 투명 액상,100 mL,신 혜 정,"오일컷 내용물이 잘 혼합되도록 충분히 흔들어 준 다음, 두피 가까이에 분사하고 톡톡 두드려 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉후 12개월),제품표준서_EVCO944_(BTSM001)-바스파 피토 스칼프 오일컷 미스트.xls
바스파 플랜트 퓨어 로즈힙 바디 워시,Bathpa Plant Pure Rosehip Body Wash,EVCO-945,2018.08.09,BTBC001,백색의 점액상,300 mL,신 혜 정,적당량을 샤워용 스펀지나 타올에 묻혀 거품을 낸 다음 전신에 마사지하듯 고루 문지른 후 물로 깨끗이 씻어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO945_(BTBC001)-바스파 플랜트 퓨어 로즈힙 바디 워시.xls
바스파 플랜트 퓨어 로즈힙 바디 로션,Bathpa Plant Pure Rosehip Body Lotion,EVCO-946,2018.08.09,BTBL001,백색의 로션상,300 mL,신 혜 정,샤워 후 적당량을 덜어 전신에 마사지하듯이 부드럽게 펴 발라줍니다. 취침 전이나 건조할 때마다 수시로 바르면 더욱 효과적입니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO946_(BTBL001)-바스파 플랜트 퓨어 로즈힙 바디 로션.xls
바스파 플랜트 퓨어 로즈힙 핸드 크림,Bathpa Plant Pure Rosehip Hand Cream,EVCO-947,2018.08.09,BTHC001,백색의 크림상,100 mL,신 혜 정,"손을 씻은 후, 건조함이 느껴질 때마다 적당량을 덜어 부드럽게 롤링하면서 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO947_(BTHC001)-바스파 플랜트 퓨어 로즈힙 핸드 크림.xls
바스파 플랜트 퓨어 로즈힙 핸드 솝,Bathpa Plant Pure Rosehip Hand Soap,EVCO-948,2018.08.09,BTHS001,무색 투명 점액상,300 mL,신 혜 정,적당량을 취해 물기있는 손에 덜어 거품을 낸 후 헹궈줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO948_(BTHS001)-바스파 플랜트 퓨어 로즈힙 핸드 솝.xls
위드미 판테스틱 더마 시카 카밍 앰플,WITHME Panthestic Derma Cica Calming Ampoule,EVCO-949,2018.08.22,WMAP001,파란색 투명 점액상,30 mL,신 혜 정,"적당량을 덜어 얼굴 전체에 고르게 펴바른 뒤, 손바닥으로 가볍게 눌러 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉후 12개월),제품표준서_EVCO949_(WMAP001)-위드미 판테스틱 더마 시카 카밍 앰플.xls
위드미 판테스틱 더마 비타 에너지 앰플,WITHME Panthestic Derma Vita Energy Ampoule,EVCO-950,2018.08.22,WMAP002,황색 투명 점액상,30 mL,신 혜 정,"적당량을 덜어 얼굴 전체에 고르게 펴바른 뒤, 손바닥으로 가볍게 눌러 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉후 12개월),제품표준서_EVCO950_(WMAP002)-위드미 판테스틱 더마 비타 에너지 앰플.xls
위드미 판테스틱 더마 화이트닝 컨트롤 앰플,WITHME Panthestic Derma Whitening Control Ampoule,EVCO-951,2018.08.22,WMAP003,백색 불투명 점액상,30 mL,신 혜 정,"적당량을 덜어 얼굴 전체에 고르게 펴바른 뒤, 손바닥으로 가볍게 눌러 흡수시켜 줍니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉후 12개월),제품표준서_EVCO951_(WMAP003)-위드미 판테스틱 더마 화이트닝 컨트롤 앰플.xls
세라클리닉 로우 솔루션 센텔라 아시아티카 100,CERACLINIC Raw Solution Centella Asiatica 100,EVCO-952,2018.07.13,CCRW004,갈색 투명 액상,"60 ml, 250 ml",신 혜 정,"피부 보습이 필요한 부위에 골고루 펴 바르거나 크림, 토너 등에 섞어 사용합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO952_(CCRW004)-세라클리닉 로우 솔루션 센텔라 아시아티카 100.xls
세라클리닉 로우 솔루션 센텔라 아시아티카 100,CERACLINIC Raw Solution Centella Asiatica 100,EVCO-952,2018.07.13,CCRWB04,갈색 투명 액상,"60 ml, 250 ml",신 혜 정,"피부 보습이 필요한 부위에 골고루 펴 바르거나 크림, 토너 등에 섞어 사용합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년,제품표준서_EVCO952_(CCRW004)-세라클리닉 로우 솔루션 센텔라 아시아티카 100.xls
페디슨 인스티튜트 보떼 아미노 카렌듈라 컨디셔너,PEDISON Institut-beaute Amino Calendula Conditioner,EVCO-953,2018.08.30,PDRS007,주황색 로션상,4000 mL,신 혜 정,샴푸 후 적당량을 덜어 모발 전체에 펴 바르고 마사지합니다. 2-3분 후 물로 충분히 헹구어 냅니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO953_(PDRS007)-페디슨 인스티튜트 보떼 아미노 카렌듈라 컨디셔너.xls
